S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
8,SUBODH BARMAN,Independent,2594,5,2599,0.16,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
9,DILIP CHANDRA BARMAN,Socialist Unity Centre Of India (COMMUNIST),2449,19,2468,0.15,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
10,PURNA MOHAN ROY,Bahujan Samaj Party,2087,10,2097,0.13,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
11,BIDHAN DAS,Independent,2067,5,2072,0.13,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
12,KISHORE RAY,Independent,1588,18,1606,0.1,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
13,PRADIP KUMAR ROY,Kamatapur People’s Party (United),1499,19,1518,0.09,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
14,AMAL DAS,Independent,1488,7,1495,0.09,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
15,NOTA,None of the Above,15510,53,15563,0.96,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
1,PATEL UMESHBHAI BABUBHAI,Independent,42469,54,42523,46.02,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
2,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36243,55,36298,39.28,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
3,KETAN DAHYABHAI PATEL,Indian National Congress,11237,21,11258,12.18,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
4,UMESH PATEL,Navsarjan Bharat Party,545,-,545,0.59,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
5,SAKIL LATIF KHAN,Independent,323,-,323,0.35,1 - Daman & Diu  (Dadra & Nagar Haveli and Daman & Diu),1 - Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
