S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
13,NOTA,None of the Above,14927,14,14941,1.2,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
1,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,759603,7326,766929,61.29,17 - Khammam  (Telangana),17 - Khammam,Telangana
2,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,297592,1490,299082,23.9,17 - Khammam  (Telangana),17 - Khammam,Telangana
3,VINOD RAO TANDRA,Bharatiya Janata Party,117075,1561,118636,9.48,17 - Khammam  (Telangana),17 - Khammam,Telangana
4,VASAM RAMAKRISHNA DORA,Independent,6200,15,6215,0.5,17 - Khammam  (Telangana),17 - Khammam,Telangana
5,ULLENGALA YADAGIRI,Independent,6063,1,6064,0.48,17 - Khammam  (Telangana),17 - Khammam,Telangana
6,ADVOCATE YERRA KAAMESH,Bahujan Samaj Party,6030,71,6101,0.49,17 - Khammam  (Telangana),17 - Khammam,Telangana
7,KUKKALA NAGAIAH,Alliance of Democratic Reforms Party,5724,19,5743,0.46,17 - Khammam  (Telangana),17 - Khammam,Telangana
8,KATUKOJWALA NAGESWAR RAO,Independent,4111,3,4114,0.33,17 - Khammam  (Telangana),17 - Khammam,Telangana
9,CHILAKABATHINI STALIN,Independent,3112,1,3113,0.25,17 - Khammam  (Telangana),17 - Khammam,Telangana
10,SHAIK BAJI BABA,Independent,2422,2,2424,0.19,17 - Khammam  (Telangana),17 - Khammam,Telangana
11,KASIMALLA NAGESWARA RAO,Independent,2232,5,2237,0.18,17 - Khammam  (Telangana),17 - Khammam,Telangana
12,BANDARU NAGARAJU,Independent,2122,-,2122,0.17,17 - Khammam  (Telangana),17 - Khammam,Telangana
13,SHAIK KHALEEL PASHA,Independent,2023,5,2028,0.16,17 - Khammam  (Telangana),17 - Khammam,Telangana
14,EDURUGATLA CHITTI MALLU,Independent,1848,6,1854,0.15,17 - Khammam  (Telangana),17 - Khammam,Telangana
15,GANGIREDDY KOTI REDDY,Independent,1789,1,1790,0.14,17 - Khammam  (Telangana),17 - Khammam,Telangana
16,SHAIK SIRAJUDDIN,Independent,1661,2,1663,0.13,17 - Khammam  (Telangana),17 - Khammam,Telangana
17,SHAIK AJJULU,Independent,1342,-,1342,0.11,17 - Khammam  (Telangana),17 - Khammam,Telangana
18,KOPPULA SRINIVASA RAO,Jaibhim Rao Bharat Party,1271,2,1273,0.1,17 - Khammam  (Telangana),17 - Khammam,Telangana
19,MADDISETTY YERRAPPA @ AJAY,Independent,1043,10,1053,0.08,17 - Khammam  (Telangana),17 - Khammam,Telangana
20,SHAIK MOHMED RASOOL,Independent,1021,1,1022,0.08,17 - Khammam  (Telangana),17 - Khammam,Telangana
21,LINGALA RAVI KUMAR,Independent,1017,1,1018,0.08,17 - Khammam  (Telangana),17 - Khammam,Telangana
22,AVUTAPALLI RAMBABU,Independent,948,2,950,0.08,17 - Khammam  (Telangana),17 - Khammam,Telangana
23,TEJAVATH JOGRAM NAIK,Independent,914,5,919,0.07,17 - Khammam  (Telangana),17 - Khammam,Telangana
24,ANWAR RAICE,Socialist Party (India),754,-,754,0.06,17 - Khammam  (Telangana),17 - Khammam,Telangana
25,ANANDA PRASAD KASINA,Pyramid Party of India,714,4,718,0.06,17 - Khammam  (Telangana),17 - Khammam,Telangana
26,LINGAIAH DANDA,Independent,693,7,700,0.06,17 - Khammam  (Telangana),17 - Khammam,Telangana
27,ANIL KUMAR MADDINENI,Independent,689,4,693,0.06,17 - Khammam  (Telangana),17 - Khammam,Telangana
28,PAPETLA RAMAMURTHY,Sakala Janula Party,659,2,661,0.05,17 - Khammam  (Telangana),17 - Khammam,Telangana
29,ANTHONI SURESH,Bahujana Left Party,607,9,616,0.05,17 - Khammam  (Telangana),17 - Khammam,Telangana
30,M. RAVI CHANDAR CHOWHAN,Independent,597,4,601,0.05,17 - Khammam  (Telangana),17 - Khammam,Telangana
31,THAMBALLA RAVI,Independent,503,5,508,0.04,17 - Khammam  (Telangana),17 - Khammam,Telangana
32,BHATTU SRINIVAS,Jai Bharat National Party,472,4,476,0.04,17 - Khammam  (Telangana),17 - Khammam,Telangana
33,NAGESWARA RAO LAKAVATH,Independent,363,5,368,0.03,17 - Khammam  (Telangana),17 - Khammam,Telangana
34,MALAMPATI SURYANARAYANA,Independent,362,1,363,0.03,17 - Khammam  (Telangana),17 - Khammam,Telangana
35,MUTYAM ARJUNA RAJU,Independent,349,2,351,0.03,17 - Khammam  (Telangana),17 - Khammam,Telangana
36,NOTA,None of the Above,6657,125,6782,0.54,17 - Khammam  (Telangana),17 - Khammam,Telangana
1,DEVUSINH CHAUHAN,Bharatiya Janata Party,738609,5826,744435,63.31,17 - Kheda (Gujarat),17 - Kheda,Gujarat
2,KALUSINH DABHI,Indian National Congress,381656,5021,386677,32.88,17 - Kheda (Gujarat),17 - Kheda,Gujarat
3,SODHA SANJAYKUMAR PARVATSINH,Independent,6123,16,6139,0.52,17 - Kheda (Gujarat),17 - Kheda,Gujarat
4,BHAILALBHAI KALUBHAI PANDAV,Bahujan Samaj Party,6055,97,6152,0.52,17 - Kheda (Gujarat),17 - Kheda,Gujarat
5,PARMAR HITESHKUMAR PARSOTTAMBHAI,Independent,2730,11,2741,0.23,17 - Kheda (Gujarat),17 - Kheda,Gujarat
6,UPENDRAKUMAR VALLAVBHAI PATEL,Independent,2703,12,2715,0.23,17 - Kheda (Gujarat),17 - Kheda,Gujarat
7,PATEL ANILKUMAR BHAILALBHAI,Rashtriya Mahaswaraj Bhumi Party,2493,30,2523,0.21,17 - Kheda (Gujarat),17 - Kheda,Gujarat
8,SAIYAD KADARI MOHAMMAD SABIR ANVAR HUSAIN,Bhartiya Jan Nayak Party,1812,26,1838,0.16,17 - Kheda (Gujarat),17 - Kheda,Gujarat
9,INDIRADEVI HIRALAL VORA,Garib Kalyan Party,1126,9,1135,0.1,17 - Kheda (Gujarat),17 - Kheda,Gujarat
10,KAMLESHBHAI POPATBHAI PATEL,Bhartiya Jan Parishad,933,16,949,0.08,17 - Kheda (Gujarat),17 - Kheda,Gujarat
11,IMRANBHAI VANKAWALA,Right to Recall Party,924,4,928,0.08,17 - Kheda (Gujarat),17 - Kheda,Gujarat
12,KANTIYA DASRATH HARJIVANBHAI,New India United Party,789,3,792,0.07,17 - Kheda (Gujarat),17 - Kheda,Gujarat
13,NOTA,None of the Above,18444,380,18824,1.6,17 - Kheda (Gujarat),17 - Kheda,Gujarat
1,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,507535,2529,510064,53.3,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
2,MUKESH DHANGAR,Indian National Congress,216043,614,216657,22.64,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
3,SURESH SINGH,Bahujan Samaj Party,188152,265,188417,19.69,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
4,BHANU PRATAP SINGH,Independent,15640,25,15665,1.64,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
5,RAKESH KUMAR,Independent,4492,2,4494,0.47,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
6,JAGDISH PRASAD KAUSHIK ADVOCATE,Rashtriya Samta Vikas Party,3567,8,3575,0.37,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
7,RAVI VERMA,Independent,2724,-,2724,0.28,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
8,SHIKHA SHARMA,Independent,2246,5,2251,0.24,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
9,KAMAL KANT SHARMA,Independent,1491,12,1503,0.16,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
10,YOGESH KUMAR TALAN,Independent,1491,2,1493,0.16,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
11,MONI FALHARI BAPU,Independent,1322,4,1326,0.14,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
12,KSHETRA PAL SINGH,Independent,1206,5,1211,0.13,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
13,DR. RASHMI YADAV,Independent,1183,6,1189,0.12,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
14,PRAVESHANAND PURI,Independent,1081,4,1085,0.11,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
15,SURESH CHANDRA VAGHEL,Rashtriya Shoshit Samaj Party,822,7,829,0.09,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
16,NOTA,None of the Above,4527,36,4563,0.48,17 - Mathura (Uttar Pradesh),17 - Mathura,Uttar Pradesh
1,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
2,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,583155,6001,589156,41.95,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
3,J LAKSHMI NARASIMHA YADAV,Indian National Congress,54920,1284,56204,4.0,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
4,P GURUVAIAH,Independent,8190,1,8191,0.58,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
5,A CHINNA MOULALI,Bahujan Samaj Party,7768,63,7831,0.56,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
6,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6858,74,6932,0.49,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
7,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,-,4633,0.33,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
8,GAGGERA VENKATA RAMANAIAH,Independent,3027,4,3031,0.22,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
9,DUMAVATH SWAMY NAIK,Independent,2348,10,2358,0.17,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
10,KUNUKUNTLA RAMUDU,Independent,1408,5,1413,0.1,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
11,E ANIL KUMAR,Independent,1332,2,1334,0.09,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
12,C SURENDRA NATHA REDDY,Independent,1267,1,1268,0.09,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
13,BRAHMANANDA REDDY K,Independent,1261,11,1272,0.09,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
14,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,785,6,791,0.06,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
15,NAGESWARA RAO,Independent,678,2,680,0.05,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
16,VIJAYA BHASKAR REDDYPOGU,Independent,641,-,641,0.05,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
17,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,638,4,642,0.05,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
18,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,630,16,646,0.05,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
19,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,594,11,605,0.04,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
20,CHANDINI REDDY VAKATI,Liberation Congress Party,546,10,556,0.04,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
21,B C RAMANADHA AREDDY,Independent,472,-,472,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
22,GAJULA SHALIMIYA,Anna YSR Congress Party,468,18,486,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
23,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,428,2,430,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
24,CH P MALLESWARUDU,Independent,417,4,421,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
25,I V PAKKIR REDDY,Independent,408,2,410,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
26,V MADHUSUDHANA REDDY,Independent,399,2,401,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
27,BUSHAKU MAHESWARA REDDY,Independent,390,-,390,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
28,U P MUNI REDDY,Independent,376,-,376,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
29,GOGULA SUGUNAMMA,Jai Maha Bharath Party,375,4,379,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
30,BELLAMKONDA SREENIVASULU,Independent,352,1,353,0.03,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
31,BALIJA SHIVA KUMAR,Independent,288,-,288,0.02,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
32,NOTA,None of the Above,10538,159,10697,0.76,17 - Nandyal (Andhra Pradesh),17 - Nandyal,Andhra Pradesh
1,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),596871,4472,601343,45.17,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
2,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,463764,3518,467282,35.1,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
3,PANJAB UTTAMRAO DAKH,Vanchit Bahujan Aaghadi,95394,573,95967,7.21,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
4,DR. GOVARDHAN BHIWAJI KHANDAGALE,Bahujan Bharat Party,15355,40,15395,1.16,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
5,KAMBLE SHIVAJI DEVAJI,Independent,11050,10,11060,0.8300000000000001,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
6,ALAMGIR MOHAMMAD KHAN,Bahujan Samaj Party,10972,90,11062,0.8300000000000001,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
7,SAMIR GANESHRAO DUDHGAONKAR,Independent,10951,105,11056,0.8300000000000001,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
8,KRUSHNA TRIMBAKRAO PAWAR,Independent,10145,9,10154,0.76,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
9,KAILAS BALIRAM PAWAR (NAIK),Baliraja Party,9487,33,9520,0.72,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
10,PROF. DR. VILAS BANSIDHAR TANGADE,Independent,8814,6,8820,0.66,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
11,ARJUN DNYANOBA BHISE,Independent,6915,8,6923,0.52,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
12,COMRADE RAJAN KSHIRSAGAR,Communist Party of India,6627,22,6649,0.5,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
13,KISHORKUMAR PRAKASH SHINDE,Independent,6547,1,6548,0.49,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
14,KISHORE RADHAKISHAN DHAGE,Independent,5446,34,5480,0.41,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
15,SAYED IRSHAD ALI SAYYED LAYAKH ALI,Social Democratic Party Of India,4629,15,4644,0.35,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
16,DASHARATH PRABHKAR RATHOD,Maharashtra Vikas Aghadi,4354,40,4394,0.33,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
17,KARBHARI KUNDLIK MITHE,Independent,4268,8,4276,0.32,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
18,APPASAHEB OMKAR KADAM,Independent,3883,8,3891,0.29,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
19,SHRIRAM BANSILAL JADHAV,Jai Sewalal Bahujan Vikas Party,3617,11,3628,0.27,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
20,COMRADE GANPAT BHISE,Independent,3589,15,3604,0.27,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
21,DNYANESHWAR JAGANNATH DAHIBHATE,Independent,3538,1,3539,0.27,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
22,ANIL MANIKRAO MUDGALKAR,Independent,3531,2,3533,0.27,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
23,GOVIND BHAIYYA RAMRAO DESHMUKH,Independent,3452,7,3459,0.26,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
24,SUBHASH DATTARAV JAVLE,Independent,3429,5,3434,0.26,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
25,RAJABHAU SHESHRAO KAKDE,Independent,3299,3,3302,0.25,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
26,RAJENDRA RAMDAS ATKAL,Independent,2807,5,2812,0.21,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
27,SAYYD ABDUL SATTAR AJIJ,Independent,2646,4,2650,0.2,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
28,SHAIKH SALEEM SHAIKH IBRAHIM,All India Majlis-E-Inquilab-E-Millat,2617,2,2619,0.2,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
29,SANGEETA VYAKANTRAO GIRI,Swarajya Shakti Sena,2324,15,2339,0.18,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
30,ADV. VINOD CHHAGANRAO AMBHORE,Bahujan Mukti Party,2017,24,2041,0.15,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
31,VIJAY ANNASAHEB THOMBARE,Independent,1957,2,1959,0.15,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
32,VISHNUDAS SHIVAJI BHOSALE,Independent,1856,4,1860,0.14,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
33,MUSTAFA MAINODDIN SHAIKH,Independent,1298,4,1302,0.1,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
34,BOBADE SAKHARAM PADEGAONKAR,Independent,1244,2,1246,0.09,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
35,NOTA,None of the Above,3306,79,3385,0.25,17 - Parbhani (Maharashtra),17 - Parbhani,Maharashtra
1,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
2,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),297888,3616,301504,32.79,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
3,ANIL K.ANTONY,Bharatiya Janata Party,231172,3234,234406,25.49,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
4,ADV.P.K.GEETHAKRISHNAN,Bahujan Samaj Party,3918,54,3972,0.43,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
5,JOY P.MATHEW,People's Party of India(secular),1173,8,1181,0.13,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
6,K.C.THOMAS,Independent,1080,21,1101,0.12,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
7,ADV.HARIKUMAR M.K.,Ambedkarite Party of India,735,27,762,0.08,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
8,ANOOP V.,Independent,557,52,609,0.07,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
9,NOTA,None of the Above,8268,143,8411,0.91,17 - Pathanamthitta (Kerala),17 - Pathanamthitta,Kerala
1,SAMBIT PATRA,Bharatiya Janata Party,625372,3958,629330,52.58,17 - Puri (Odisha),17 - Puri,Odisha
2,ARUP MOHAN PATNAIK,Biju Janata Dal,523036,1585,524621,43.83,17 - Puri (Odisha),17 - Puri,Odisha
3,JAYANARAYAN PATTANAYAK,Indian National Congress,24066,276,24342,2.03,17 - Puri (Odisha),17 - Puri,Odisha
4,SANTANU KUMAR DAS,Bahujan Samaj Party,3918,11,3929,0.33,17 - Puri (Odisha),17 - Puri,Odisha
5,SUBASH CHANDRA BHOI,Socialist Unity Centre Of India (COMMUNIST),3257,9,3266,0.27,17 - Puri (Odisha),17 - Puri,Odisha
6,SOBHA PANDEY,Independent,2212,17,2229,0.19,17 - Puri (Odisha),17 - Puri,Odisha
7,DILLIP KUMAR BARAL,Independent,1605,6,1611,0.13,17 - Puri (Odisha),17 - Puri,Odisha
8,NOTA,None of the Above,7568,42,7610,0.64,17 - Puri (Odisha),17 - Puri,Odisha
1,PROF S P SINGH BAGHEL,Bharatiya Janata Party,597061,2336,599397,53.34,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
2,SURESH CHAND KARDAM,Samajwadi Party,326644,1459,328103,29.2,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
3,POOJA AMROHI,Bahujan Samaj Party,175810,664,176474,15.7,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
4,ARAM SINGH,Peoples Party of India (Democratic),4130,13,4143,0.37,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
5,KULDEEP KUMAR,Bharatiya Kisan Parivartan Party,1997,5,2002,0.18,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
6,MAHENDRA SINGH,Independent,1779,6,1785,0.16,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
7,POOJA,Independent,1363,7,1370,0.12,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
8,SARVESH KUMAR,Bharatiya Majdoor Janta Party,1123,10,1133,0.1,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
9,AMBEDAKARI HASANURAM AMBEDAKARI,Independent,927,6,933,0.08,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
10,JITENDRA GAUTAM,Lokpriya Rashtrawadi Party,780,2,782,0.07,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
11,CHANDRA PAL,Adarsh Samaj Party,640,3,643,0.06,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
12,NOTA,None of the Above,6929,85,7014,0.62,18 - Agra (Uttar Pradesh),18 - Agra,Uttar Pradesh
1,SK NURUL ISLAM,All India Trinamool Congress,801542,2220,803762,52.76,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
2,REKHA PATRA,Bharatiya Janata Party,468593,1622,470215,30.87,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
3,AKHTAR RAHAMAN BISWAS,All India Secular Front,123432,68,123500,8.11,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
4,NIRAPADA SARDAR,Communist Party of India (Marxist),77611,288,77899,5.11,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
5,MAFIJUL MOLLA,Independent,11833,-,11833,0.78,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
6,PRIYAMA DAS,Independent,6606,14,6620,0.43,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
7,MIRAZ MOLLA,Independent,5902,-,5902,0.39,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
8,MD ABUL KALAM MOLLA,Bahujan Samaj Party,4451,13,4464,0.29,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
9,BIDYUT GAYEN,Independent,3625,9,3634,0.24,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
10,IMRAN ALI SARDAR,Bharatheeya Jawan Kisan Party,2548,5,2553,0.17,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
11,PIYARUL ISLAM,Independent,2388,3,2391,0.16,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
12,SARAVAN SINGH,Independent,2020,1,2021,0.13,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
13,DAUD ALI GAZI,Socialist Unity Centre Of India (COMMUNIST),1163,4,1167,0.08,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
14,KINKAR KANTI ROY,Independent,1115,3,1118,0.07,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
15,BIPUL CHANDRA BISWAS,Mulnibasi Party of India,1070,4,1074,0.07,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
16,NOTA,None of the Above,5229,19,5248,0.34,18 - Basirhat (West Bengal),18 - Basirhat,West Bengal
1,APARAJITA SARANGI,Bharatiya Janata Party,509567,2952,512519,47.36,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
2,MANMATH KUMAR ROUTRAY,Biju Janata Dal,475990,1377,477367,44.11,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
3,SYED YASHIR NAWAZ,Indian National Congress,66045,317,66362,6.13,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
4,SURESH CHANDRA PANIGRAHY,Communist Party of India (Marxist),4134,14,4148,0.38,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
5,HULAS SENAPATI,Independent,2248,3,2251,0.21,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
6,KISHOR KUMAR SUTAR,Independent,2202,1,2203,0.2,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
7,SUDHANSU SEKHAR DAS,Independent,1751,7,1758,0.16,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
8,SANTOSH KUMAR MISHRA,Independent,1738,6,1744,0.16,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
9,SANGEETA PATTANAIK,Odisha Janata Party,1528,2,1530,0.14,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
10,PRADEEP KUMAR SAHOO,Kalinga Sena,1495,8,1503,0.14,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
11,SANTILATA ROUT,Supreme Zero Party of Bharat,1437,4,1441,0.13,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
12,NATABAR MAHARANA,Bharatiya Bikash Parishad,1080,7,1087,0.1,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
13,NOTA,None of the Above,8261,41,8302,0.77,18 - Bhubaneswar (Odisha),18 - Bhubaneswar,Odisha
1,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,681217,3673,684890,50.11,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
2,B.N.CHANDRAPPA,Indian National Congress,634152,2617,636769,46.58,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
3,ASHOKA CHAKRAVARTHI,Bahujan Samaj Party,7679,26,7705,0.56,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
4,NARASIMHARAJU. C.N.,Karnataka Rashtra Samithi,4932,18,4950,0.36,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
5,SRINIVASAPURADA SRINIVASABABU PAVAGADA,Independent,4539,9,4548,0.33,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
6,"B. VENKATESHA, SHILPI",Independent,4196,5,4201,0.31,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
7,MANJUNATHA SWAMY T,Independent,2652,24,2676,0.2,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
8,BHUTHARAJA. V.S.,Independent,2386,11,2397,0.18,18 - Chitradurga (Karnataka),18 - Chitradurga,Karnataka
